iter	R2	RMSE
0	0.6353385722	0.1644602951
10	0.9933522236	0.02220518277
20	0.9968976349	0.01516919754
30	0.9979443654	0.01234778658
40	0.9984123006	0.01085176275
50	0.9987446143	0.009649498576
60	0.9989681282	0.008748407952
70	0.9991077455	0.008135055429
80	0.9992286055	0.007564050498
90	0.9993304825	0.007046884112
100	0.9994011172	0.00666479933
110	0.9994592999	0.006332779888
120	0.999504121	0.006064625917
130	0.9995411611	0.005833729242
140	0.9995734793	0.005624529631
150	0.9996006765	0.005442251101
160	0.9996247989	0.005275312564
170	0.9996456167	0.005126875413
180	0.9996659607	0.00497754188
190	0.9996815478	0.00486002211
199	0.9996988903	0.004725834686
