iter	Passed	Remaining
0	449	89363
1	783	77574
2	1123	73808
3	1466	71861
4	1998	77947
5	2509	81134
6	2986	82345
7	3520	84483
8	3947	83782
9	4202	79852
10	4480	76976
11	4731	74119
12	5034	72417
13	5319	70673
14	5580	68823
15	5877	67586
16	6172	66448
17	6465	65368
18	6771	64511
19	7029	63261
20	7386	62960
21	7879	63748
22	8327	64086
23	8765	64277
24	9243	64707
25	9619	64379
26	9948	63742
27	10222	62793
28	10481	61805
29	10790	61143
30	11089	60458
31	11369	59687
32	11632	58868
33	12047	58819
34	12531	59075
35	13016	59295
36	13454	59273
37	13945	59451
38	14317	59103
39	14611	58445
40	14928	57893
41	15225	57275
42	15490	56560
43	15767	55901
44	16042	55258
45	16298	54563
46	16778	54618
47	17251	54629
48	17702	54551
49	18152	54458
50	18607	54364
51	19143	54486
52	19667	54548
53	19949	53936
54	20286	53483
55	20589	52944
56	20853	52315
57	21126	51722
58	21413	51173
59	21741	50729
60	22042	50227
61	22391	49838
62	22727	49423
63	23050	48981
64	23496	48800
65	23962	48652
66	24401	48438
67	24915	48365
68	25399	48222
69	25670	47674
70	25967	47180
71	26253	46672
72	26581	46243
73	27043	46046
74	27686	46143
75	28221	46045
76	28634	45740
77	29076	45478
78	29591	45324
79	30068	45102
80	30411	44678
81	30720	44207
82	31113	43859
83	31523	43532
84	31895	43152
85	32217	42707
86	32557	42286
87	32865	41829
88	33185	41388
89	33565	41024
90	33895	40600
91	34237	40191
92	34571	39775
93	34907	39363
94	35254	38965
95	35614	38582
96	35950	38174
97	36295	37777
98	36670	37411
99	37038	37038
100	37394	36654
101	37717	36238
102	38037	35821
103	38374	35422
104	38723	35035
105	39069	34646
106	39422	34263
107	39758	33868
108	40079	33460
109	40373	33032
110	40698	32632
111	41020	32230
112	41334	31824
113	41611	31390
114	41951	31007
115	42278	30615
116	42646	30253
117	42968	29859
118	43352	29508
119	43655	29103
120	43947	28692
121	44267	28302
122	44598	27919
123	44936	27541
124	45253	27152
125	45580	26769
126	45884	26374
127	46207	25991
128	46550	25620
129	46864	25234
130	47186	24854
131	47511	24475
132	47832	24095
133	48141	23711
134	48472	23338
135	48843	22985
136	49158	22605
137	49459	22220
138	49827	21866
139	50124	21481
140	50447	21109
141	50791	20745
142	51121	20377
143	51464	20013
144	51805	19650
145	52121	19277
146	52469	18917
147	52773	18542
148	53151	18192
149	53630	17876
150	54118	17561
151	54450	17194
152	54839	16846
153	55151	16473
154	55475	16105
155	55794	15737
156	56140	15376
157	56536	15028
158	56913	14675
159	57282	14320
160	57662	13967
161	58041	13614
162	58382	13252
163	58788	12904
164	59124	12541
165	59506	12188
166	59888	11834
167	60245	11475
168	60583	11112
169	60918	10750
170	61307	10397
171	61611	10029
172	61938	9666
173	62281	9306
174	62607	8943
175	62959	8585
176	63292	8224
177	63654	7867
178	63977	7505
179	64341	7149
180	64697	6791
181	65123	6440
182	65583	6092
183	66079	5746
184	66436	5386
185	66780	5026
186	67159	4668
187	67540	4311
188	67948	3954
189	68303	3594
190	68659	3235
191	69073	2878
192	69468	2519
193	69855	2160
194	70212	1800
195	70661	1442
196	71100	1082
197	71524	722
198	71986	361
199	72394	0
